review,rating,date,bank,source,lang,translated_review,processed_review,sentiment_score,sentiment_label,vader_sentiment,sentiment,label
I am happy using this app,5,2024-04-24,CBE,Google Play,en,I am happy using this app,happy using app,0.5719,positive,positive,positive,positive
"Bad App and Bad institution It Can not show a transaction list Correctly It shows a very Messed up Transaction position Before Leaving the Country i beg them Please, I am going to leave the country, please make internet banking active for me, but they told me that the application will work anywhere, And Now it did not work after I left the country, it made me unable to move my money.",1,2024-04-23,CBE,Google Play,en,"Bad App and Bad institution It Can not show a transaction list Correctly It shows a very Messed up Transaction position Before Leaving the Country i beg them Please, I am going to leave the country, please make internet banking active for me, but they told me that the application will work anywhere, And Now it did not work after I left the country, it made me unable to move my money.",bad app bad institution show transaction list correctly show messed transaction position leaving country beg please going leave country please make internet banking active told application work anywhere work left country made unable move money,-0.3174,negative,negative,negative,negative
ቯጨጨየኘቨሀሀ!ሐኘረd,1,2024-04-23,CBE,Google Play,unknown,ቯጨጨየኘቨሀሀ!ሐኘረd,ቯጨጨየኘቨሀሀ ሐኘረd,0.0,neutral,neutral,neutral,negative
"I am unable to use mobile banking for around a month. It says ""None available"" when I try to transfer or buy airtime.",1,2024-04-22,CBE,Google Play,en,"I am unable to use mobile banking for around a month. It says ""None available"" when I try to transfer or buy airtime.",unable use mobile banking around month say none available try transfer buy airtime,0.0,neutral,neutral,negative,negative
Super,5,2024-04-22,CBE,Google Play,id,Super,super,0.5994,positive,positive,positive,positive
It don't work The application is Doesn't work,4,2024-04-22,CBE,Google Play,en,It don't work The application is Doesn't work,work application work,0.0,neutral,neutral,neutral,positive
Stupid thief app,1,2024-04-22,CBE,Google Play,en,Stupid thief app,stupid thief app,-0.7783,negative,negative,negative,negative
It's good app but one thing shoukd be add on history sort by option,5,2024-04-21,CBE,Google Play,en,It's good app but one thing shoukd be add on history sort by option,good app one thing shoukd add history sort option,0.2382,positive,positive,positive,positive
Best app except ballance update is slow,4,2024-04-21,CBE,Google Play,en,Best app except ballance update is slow,best app except ballance update slow,0.6369,positive,positive,positive,positive
good at using CBE to family and friends and consider it as the fastest and trusted Bank,5,2024-04-21,CBE,Google Play,en,good at using CBE to family and friends and consider it as the fastest and trusted Bank,good using cbe family friend consider fastest trusted bank,0.8442,positive,positive,positive,positive
"Worest apk even it doesn't show recent transactions, resending issues. The account will be reduced without showing the money I sent.",1,2024-04-21,CBE,Google Play,en,"Worest apk even it doesn't show recent transactions, resending issues. The account will be reduced without showing the money I sent.",worest apk even show recent transaction resending issue account reduced without showing money sent,0.0,neutral,neutral,neutral,negative
best app i hope the transaction list be recorded more than 5 months,5,2024-04-21,CBE,Google Play,en,best app i hope the transaction list be recorded more than 5 months,best app hope transaction list recorded 5 month,0.7964,positive,positive,positive,positive
Thank you ok,5,2024-04-21,CBE,Google Play,tr,Thank you ok,thank ok,0.5719,positive,positive,positive,positive
v.good app !,4,2024-04-20,CBE,Google Play,et,v.good app !,app,0.0,neutral,neutral,neutral,positive
One of the fastest mobile banking app in Ethiopia thank you CBE 🙏,5,2024-04-20,CBE,Google Play,en,One of the fastest mobile banking app in Ethiopia thank you CBE 🙏,one fastest mobile banking app ethiopia thank cbe,0.3612,positive,positive,neutral,positive
Wow this Mobllie banking transfer app is amazing and easy to access and use for the mobile credit transaction keep going!!!,1,2024-04-20,CBE,Google Play,en,Wow this Mobllie banking transfer app is amazing and easy to access and use for the mobile credit transaction keep going!!!,wow mobllie banking transfer app amazing easy access use mobile credit transaction keep going,0.9322,positive,positive,positive,negative
Its good But if its give as our profile its more interesting,5,2024-04-20,CBE,Google Play,en,Its good But if its give as our profile its more interesting,good give profile interesting,0.7131,positive,positive,positive,positive
Not bad,2,2024-04-20,CBE,Google Play,id,Not bad,bad,0.431,positive,positive,negative,negative
በጣም ምርጥ app እና በጣም ቀልጣፋ system አለው ብዙ ስራዎቼን አቅልሎኛል ጊዜዬን እንድጠቀም የምፈልገውን እቃ ካለሁበት ቦታ ሆኜ እንድገዛ እረድቶኛል,4,2024-04-20,CBE,Google Play,unknown,በጣም ምርጥ app እና በጣም ቀልጣፋ system አለው ብዙ ስራዎቼን አቅልሎኛል ጊዜዬን እንድጠቀም የምፈልገውን እቃ ካለሁበት ቦታ ሆኜ እንድገዛ እረድቶኛል,በጣም ምርጥ app እና በጣም ቀልጣፋ system አለው ብዙ ስራዎቼን አቅልሎኛል ጊዜዬን እንድጠቀም የምፈልገውን እቃ ካለሁበት ቦታ ሆኜ እንድገዛ እረድቶኛል,0.0,neutral,neutral,neutral,positive
Nice.....it is providing services exceptionally quickly. thanks 👂,4,2024-04-20,CBE,Google Play,en,Nice.....it is providing services exceptionally quickly. thanks 👂,nice providing service exceptionally quickly thanks,0.4902,positive,positive,positive,positive
🥇 goud,5,2024-04-19,CBE,Google Play,cy,🥇 goud,goud,0.0,neutral,neutral,neutral,positive
tztz sesr,1,2024-04-18,CBE,Google Play,de,tztz sesr,tztz sesr,0.0,neutral,neutral,neutral,negative
"When I tray to open the app it says ""The device is Rooted"" haw can i solve it?",1,2024-04-18,CBE,Google Play,en,"When I tray to open the app it says ""The device is Rooted"" haw can i solve it?",tray open app say device rooted haw solve,0.2023,positive,positive,neutral,negative
fast and short step app.,5,2024-04-18,CBE,Google Play,en,fast and short step app.,fast short step app,0.0,neutral,neutral,positive,positive
Best option,5,2024-04-18,CBE,Google Play,fr,Best option,best option,0.6369,positive,positive,positive,positive
God jab CBE,5,2024-04-17,CBE,Google Play,so,God jab CBE,god jab cbe,0.2732,positive,positive,neutral,positive
The bank workers is the wrost ever but the app is best i aporeciate the developers,5,2024-04-16,CBE,Google Play,en,The bank workers is the wrost ever but the app is best i aporeciate the developers,bank worker wrost ever app best aporeciate developer,0.7783,positive,positive,positive,positive
🙏🙏🙏🙏🙏,4,2024-04-16,CBE,Google Play,unknown,🙏🙏🙏🙏🙏,,0.0,neutral,neutral,neutral,positive
My Cbe,5,2024-04-16,CBE,Google Play,cy,My Cbe,cbe,0.0,neutral,neutral,neutral,positive
grow business,5,2024-04-15,CBE,Google Play,en,grow business,grow business,0.0,neutral,neutral,neutral,positive
"It's very bad. It deserves 0 stars. It doesn't show some transactions,it misplace transactions,it misplace dates,it shows nonsense errors and so more. I just rate it to 2 stars for helping me a lot.",2,2024-04-14,CBE,Google Play,en,"It's very bad. It deserves 0 stars. It doesn't show some transactions,it misplace transactions,it misplace dates,it shows nonsense errors and so more. I just rate it to 2 stars for helping me a lot.",bad deserves 0 star show transaction misplace transaction misplace date show nonsense error rate 2 star helping lot,-0.7713,negative,negative,negative,negative
It is good but not fast,1,2024-04-14,CBE,Google Play,en,It is good but not fast,good fast,0.2382,positive,positive,positive,negative
Best 👌,5,2024-04-14,CBE,Google Play,de,Best 👌,best,0.6369,positive,positive,positive,positive
"That's good,but it deserves security l.",4,2024-04-14,CBE,Google Play,en,"That's good,but it deserves security l.",good deserves security l,0.34,positive,positive,positive,positive
Nice app I like it too,5,2024-04-14,CBE,Google Play,en,Nice app I like it too,nice app like,0.6486,positive,positive,positive,positive
Wonderful,5,2024-04-13,CBE,Google Play,de,Wonderful,wonderful,0.5719,positive,positive,positive,positive
Am happy for this application,5,2024-04-13,CBE,Google Play,en,Am happy for this application,happy application,0.5719,positive,positive,positive,positive
One of the most useless app in the country. Doesn't work almost 99 percent of the time.,1,2024-04-13,CBE,Google Play,en,One of the most useless app in the country. Doesn't work almost 99 percent of the time.,one useless app country work almost 99 percent time,-0.4754,negative,negative,negative,negative
It is hard to open,1,2024-04-13,CBE,Google Play,en,It is hard to open,hard open,-0.1027,negative,negative,negative,negative
an amazing app fast and secure,5,2024-04-13,CBE,Google Play,en,an amazing app fast and secure,amazing app fast secure,0.7351,positive,positive,positive,positive
Of LLC do my go of,5,2024-04-13,CBE,Google Play,cy,Of LLC do my go of,llc go,0.0,neutral,neutral,neutral,positive
"It is more secure and reliable app, I recommend for every customer",5,2024-04-13,CBE,Google Play,en,"It is more secure and reliable app, I recommend for every customer",secure reliable app recommend every customer,0.6361,positive,positive,positive,positive
It is a very convenient app to use.,4,2024-04-13,CBE,Google Play,en,It is a very convenient app to use.,convenient app use,0.0,neutral,neutral,neutral,positive
Worriest ever app i have faced,1,2024-04-13,CBE,Google Play,en,Worriest ever app i have faced,worriest ever app faced,0.0,neutral,neutral,neutral,negative
pure trash,5,2024-04-13,CBE,Google Play,sq,pure trash,pure trash,0.0,neutral,neutral,positive,positive
But today it's not working,5,2024-04-13,CBE,Google Play,en,But today it's not working,today working,0.0,neutral,neutral,neutral,positive
እንዲህ አይነት ቀላል፣ ያማረ እና ለአጠቃቀም ምቹ መሆኑ እንድንወደው አድርጎናል።,4,2024-04-12,CBE,Google Play,unknown,እንዲህ አይነት ቀላል፣ ያማረ እና ለአጠቃቀም ምቹ መሆኑ እንድንወደው አድርጎናል።,እንዲህ አይነት ያማረ እና ለአጠቃቀም ምቹ መሆኑ እንድንወደው,0.0,neutral,neutral,neutral,positive
Yigerem,5,2024-04-12,CBE,Google Play,da,Yigerem,yigerem,0.0,neutral,neutral,neutral,positive
Poor application most times it says error while sending then it actually sent money so u have to double check if its an error or it sent cash. recent transaction don't update as fast sometimes it even misplaces date and bring forth a transaction done a day or 2 back at the top.the only thing remotely good is the UI interface,1,2024-04-12,CBE,Google Play,en,Poor application most times it says error while sending then it actually sent money so u have to double check if its an error or it sent cash. recent transaction don't update as fast sometimes it even misplaces date and bring forth a transaction done a day or 2 back at the top.the only thing remotely good is the UI interface,poor application time say error sending actually sent money u double check error sent cash recent transaction update fast sometimes even misplaces date bring forth transaction done day 2 back thing remotely good ui interface,-0.6808,negative,negative,positive,negative
Thief institution,1,2024-04-11,CBE,Google Play,en,Thief institution,thief institution,-0.5267,negative,negative,neutral,negative
👍👍👍👍best,5,2024-04-11,CBE,Google Play,af,👍👍👍👍best,,0.0,neutral,neutral,neutral,positive
Shifee diquuallm,5,2024-04-11,CBE,Google Play,it,Shifee diquuallm,shifee diquuallm,0.0,neutral,neutral,neutral,positive
"Why are we unable to transfer more than 10,000 to another bank?",4,2024-04-11,CBE,Google Play,en,"Why are we unable to transfer more than 10,000 to another bank?",unable transfer another bank,0.0,neutral,neutral,negative,positive
Not compatible,1,2024-04-11,CBE,Google Play,en,Not compatible,compatible,0.0,neutral,neutral,neutral,negative
My favorite app,5,2024-04-11,CBE,Google Play,it,My favorite app,favorite app,0.4588,positive,positive,positive,positive
it is good app,5,2024-04-11,CBE,Google Play,en,it is good app,good app,0.4404,positive,positive,positive,positive
Okkee,5,2024-04-10,CBE,Google Play,af,Okkee,okkee,0.0,neutral,neutral,neutral,positive
Diroo Abaraa Fataee,5,2024-04-10,CBE,Google Play,so,Diroo Abaraa Fataee,diroo abaraa fataee,0.0,neutral,neutral,neutral,positive
ገንዘብ በላኩኝ ቁጥር 10 ብር ይቆርጣል። Even ከ 10 ብር በታች ልኬ 10 ብር ይቆረጣል። ይህ ደሞ ህጋዊ አሰራር አይመስለኝምና የባንክ አገልግሎትም እንድቀይር እያስገደደኝ ነው። ይሄንን ጎጂ ተግባር ብታቆሙ የተሻለ ነው።,1,2024-04-10,CBE,Google Play,unknown,ገንዘብ በላኩኝ ቁጥር 10 ብር ይቆርጣል። Even ከ 10 ብር በታች ልኬ 10 ብር ይቆረጣል። ይህ ደሞ ህጋዊ አሰራር አይመስለኝምና የባንክ አገልግሎትም እንድቀይር እያስገደደኝ ነው። ይሄንን ጎጂ ተግባር ብታቆሙ የተሻለ ነው።,ገንዘብ በላኩኝ ቁጥር 10 ብር even ከ 10 ብር በታች ልኬ 10 ብር ይህ ደሞ ህጋዊ አሰራር አይመስለኝምና የባንክ አገልግሎትም እንድቀይር እያስገደደኝ ይሄንን ጎጂ ተግባር ብታቆሙ የተሻለ,0.0,neutral,neutral,neutral,negative
Haqii lgiishiina,5,2024-04-10,CBE,Google Play,so,Haqii lgiishiina,haqii lgiishiina,0.0,neutral,neutral,neutral,positive
"It's good, but not too much",3,2024-04-09,CBE,Google Play,en,"It's good, but not too much",good much,0.2382,positive,positive,positive,neutral
this app really helped me a lot,5,2024-04-09,CBE,Google Play,en,this app really helped me a lot,app really helped lot,0.0,neutral,neutral,positive,positive
Oka new,5,2024-04-09,CBE,Google Play,sw,Oka new,oka new,0.0,neutral,neutral,positive,positive
it's very good app,5,2024-04-09,CBE,Google Play,en,it's very good app,good app,0.4927,positive,positive,positive,positive
Very nice app and simple,5,2024-04-09,CBE,Google Play,en,Very nice app and simple,nice app simple,0.4754,positive,positive,positive,positive
Mensru behru,5,2024-04-08,CBE,Google Play,de,Mensru behru,mensru behru,0.0,neutral,neutral,neutral,positive
Smoth and fast,3,2024-04-07,CBE,Google Play,en,Smoth and fast,smoth fast,0.0,neutral,neutral,positive,neutral
dange.zeleke,5,2024-04-07,CBE,Google Play,nl,dange.zeleke,,0.0,neutral,neutral,neutral,positive
Very nice application. Well updated!!!!,5,2024-04-07,CBE,Google Play,en,Very nice application. Well updated!!!!,nice application well updated,0.7667,positive,positive,positive,positive
Im very interesting in this app,5,2024-04-06,CBE,Google Play,en,Im very interesting in this app,im interesting app,0.4576,positive,positive,positive,positive
is My account so please help me Please please,5,2024-04-06,CBE,Google Play,en,is My account so please help me Please please,account please help please please,0.8823,positive,positive,neutral,positive
The best experience ever I have seen. Keep it up.,5,2024-04-06,CBE,Google Play,en,The best experience ever I have seen. Keep it up.,best experience ever seen keep,0.6369,positive,positive,positive,positive
Same what nework problems,5,2024-04-06,CBE,Google Play,en,Same what nework problems,nework problem,-0.4019,negative,negative,neutral,positive
Its good but it dosnt show updated statment,3,2024-04-05,CBE,Google Play,en,Its good but it dosnt show updated statment,good dosnt show updated statment,0.2382,positive,positive,positive,neutral
"please include transfer to its own telebirr Merchant account for the trader. We cannot transfer money from our CBE account to our telebirr Merchant account, all transfer from our account considered as payment.",4,2024-04-05,CBE,Google Play,en,"please include transfer to its own telebirr Merchant account for the trader. We cannot transfer money from our CBE account to our telebirr Merchant account, all transfer from our account considered as payment.",please include transfer telebirr merchant account trader transfer money cbe account telebirr merchant account transfer account considered payment,0.3182,positive,positive,neutral,positive
Excellent easy to interact swift time saving. I really enjoy using this app didn't really expect it to be so W⁰ºo0W,5,2024-04-05,CBE,Google Play,en,Excellent easy to interact swift time saving. I really enjoy using this app didn't really expect it to be so W⁰ºo0W,excellent easy interact swift time saving really enjoy using app really expect w⁰ºo0w,0.8977,positive,positive,positive,positive
Not active as needed,1,2024-04-05,CBE,Google Play,en,Not active as needed,active needed,-0.3089,negative,negative,negative,negative
Include Fayda National ID payment,5,2024-04-04,CBE,Google Play,en,Include Fayda National ID payment,include fayda national id payment,0.0,neutral,neutral,neutral,positive
It is easy and simple to use it.,5,2024-04-04,CBE,Google Play,en,It is easy and simple to use it.,easy simple use,0.4404,positive,positive,positive,positive
Excellence and facilitant spp,5,2024-04-04,CBE,Google Play,fr,Excellence and facilitant spp,excellence facilitant spp,0.6249,positive,positive,neutral,positive
Best Bank,5,2024-04-04,CBE,Google Play,de,Best Bank,best bank,0.6369,positive,positive,positive,positive
CBE is the best bank in the country,5,2024-04-03,CBE,Google Play,en,CBE is the best bank in the country,cbe best bank country,0.6369,positive,positive,positive,positive
I am happy with the application.,5,2024-04-03,CBE,Google Play,en,I am happy with the application.,happy application,0.5719,positive,positive,positive,positive
One of the best apps,5,2024-04-03,CBE,Google Play,en,One of the best apps,one best apps,0.6369,positive,positive,positive,positive
አብራርከማል,1,2024-04-03,CBE,Google Play,unknown,አብራርከማል,አብራርከማል,0.0,neutral,neutral,neutral,negative
Recently it is not performing well after the system modification works,4,2024-04-02,CBE,Google Play,en,Recently it is not performing well after the system modification works,recently performing well system modification work,-0.2057,negative,negative,neutral,positive
Umar tamama,1,2024-04-01,CBE,Google Play,id,Umar tamama,umar tamama,0.0,neutral,neutral,neutral,negative
"If you make 2 transfers with the same amount, it will ask to verify, but no option to do so.",3,2024-04-01,CBE,Google Play,en,"If you make 2 transfers with the same amount, it will ask to verify, but no option to do so.",make 2 transfer amount ask verify option,-0.4215,negative,negative,neutral,neutral
CBE is the best money transaction app ever that I have seen in Ethiopia,5,2024-04-01,CBE,Google Play,en,CBE is the best money transaction app ever that I have seen in Ethiopia,cbe best money transaction app ever seen ethiopia,0.6369,positive,positive,positive,positive
"Easy to use ,clear and pricise, fast confortable for all customers. Kip it up cbe",5,2024-04-01,CBE,Google Play,en,"Easy to use ,clear and pricise, fast confortable for all customers. Kip it up cbe",easy use clear pricise fast confortable customer kip cbe,0.6705,positive,positive,positive,positive
Thunks,5,2024-04-01,CBE,Google Play,vi,Thunks,thunk,0.0,neutral,neutral,neutral,positive
goood,5,2024-03-31,CBE,Google Play,so,goood,goood,0.0,neutral,neutral,neutral,positive
ምንም ነገር እየሰራልን አይደለም ችግራችሁ ከመሰለፍ ገላገለን ብለን ሳንጨርስ ሊሰራልን አልቻለም እባካችሁን ሲስተማችሁን አስተካክሉልን,3,2024-03-31,CBE,Google Play,unknown,ምንም ነገር እየሰራልን አይደለም ችግራችሁ ከመሰለፍ ገላገለን ብለን ሳንጨርስ ሊሰራልን አልቻለም እባካችሁን ሲስተማችሁን አስተካክሉልን,ምንም ነገር እየሰራልን አይደለም ችግራችሁ ከመሰለፍ ገላገለን ብለን ሳንጨርስ ሊሰራልን አልቻለም እባካችሁን ሲስተማችሁን አስተካክሉልን,0.0,neutral,neutral,neutral,neutral
Garbage,1,2024-03-31,CBE,Google Play,id,Garbage,garbage,0.0,neutral,neutral,neutral,negative
good cbe,5,2024-03-31,CBE,Google Play,so,good cbe,good cbe,0.4404,positive,positive,positive,positive
"This app is smart app for me. For making it more the best, I suggest that it is good if the transactions list were up to 2 or 3 months or even more.",5,2024-03-31,CBE,Google Play,en,"This app is smart app for me. For making it more the best, I suggest that it is good if the transactions list were up to 2 or 3 months or even more.",app smart app making best suggest good transaction list 2 3 month even,0.8773,positive,positive,positive,positive
This app is very halpful,5,2024-03-31,CBE,Google Play,en,This app is very halpful,app halpful,0.0,neutral,neutral,neutral,positive
I'm excited you,5,2024-03-30,CBE,Google Play,en,I'm excited you,excited,0.34,positive,positive,positive,positive
Free,5,2024-03-30,CBE,Google Play,nl,Free,free,0.5106,positive,positive,positive,positive
Birr selala bederegn nw,4,2024-03-30,CBE,Google Play,da,Birr selala bederegn nw,birr selala bederegn nw,0.0,neutral,neutral,neutral,positive
"Always says INACTIVE, sometimes doesn't sync, other times says go to the nearest branch and when I go they take forever. How come I am not allowed to see all transactions?Mobile banking is for saving time and efficiency. Non is takingplace. Why should I be forced to use my account everyday? I should be able to use it whenever.",1,2024-03-30,CBE,Google Play,en,"Always says INACTIVE, sometimes doesn't sync, other times says go to the nearest branch and when I go they take forever. How come I am not allowed to see all transactions?Mobile banking is for saving time and efficiency. Non is takingplace. Why should I be forced to use my account everyday? I should be able to use it whenever.",always say inactive sometimes sync time say go nearest branch go take forever come allowed see transaction mobile banking saving time efficiency non takingplace forced use account everyday able use whenever,-0.2168,negative,negative,neutral,negative
👉it can not download the receipt when we transferred what is the reason? please we need the receipt so that come on to solution!,1,2024-03-30,CBE,Google Play,en,👉it can not download the receipt when we transferred what is the reason? please we need the receipt so that come on to solution!,download receipt transferred reason please need receipt come solution,0.5983,positive,positive,neutral,negative
Wow easy and fast platform,5,2024-03-29,CBE,Google Play,en,Wow easy and fast platform,wow easy fast platform,0.7717,positive,positive,positive,positive
በጣም ጥሩ,5,2024-03-29,CBE,Google Play,unknown,በጣም ጥሩ,በጣም ጥሩ,0.0,neutral,neutral,neutral,positive
INDIVIGUALL TELEBIRR ACCOUNT IS NOT AVAILAVLE WHY,2,2024-03-29,CBE,Google Play,en,INDIVIGUALL TELEBIRR ACCOUNT IS NOT AVAILAVLE WHY,indiviguall telebirr account availavle,0.0,neutral,neutral,neutral,negative
fake,5,2024-03-28,CBE,Google Play,no,fake,fake,-0.4767,negative,negative,negative,positive
Instel,5,2024-03-26,CBE,Google Play,de,Instel,instel,0.0,neutral,neutral,neutral,positive
ሠላም ይሁን,5,2024-03-26,CBE,Google Play,unknown,ሠላም ይሁን,ሠላም ይሁን,0.0,neutral,neutral,neutral,positive
"Nice app. But i know woman who got robbed her phone and they tranfered all money that she got because they got her password from her phone. Please do not save the password localy in the phone. Make a post request to validate the password or use oauth methods. That is much safer you can look at apps like paypal,payooneer ...",3,2024-03-26,CBE,Google Play,en,"Nice app. But i know woman who got robbed her phone and they tranfered all money that she got because they got her password from her phone. Please do not save the password localy in the phone. Make a post request to validate the password or use oauth methods. That is much safer you can look at apps like paypal,payooneer ...",nice app know woman got robbed phone tranfered money got got password phone please save password localy phone make post request validate password use oauth method much safer look apps like paypal payooneer,0.8912,positive,positive,positive,neutral
Useless hackable bank!,1,2024-03-26,CBE,Google Play,da,Useless hackable bank!,useless hackable bank,-0.4753,negative,negative,negative,negative
it doesn't generate financial statements. it is good to allow us to generate our transaction in PDF file,2,2024-03-26,CBE,Google Play,en,it doesn't generate financial statements. it is good to allow us to generate our transaction in PDF file,generate financial statement good allow u generate transaction pdf file,0.5859,positive,positive,positive,negative
Very nice app thanks for the create,5,2024-03-26,CBE,Google Play,en,Very nice app thanks for the create,nice app thanks create,0.8104,positive,positive,positive,positive
ወንዱ,5,2024-03-25,CBE,Google Play,unknown,ወንዱ,ወንዱ,0.0,neutral,neutral,neutral,positive
Totally dissatisfied,1,2024-03-25,CBE,Google Play,en,Totally dissatisfied,totally dissatisfied,-0.4391,negative,negative,neutral,negative
Please help me to use cbe android on this device.,5,2024-03-25,CBE,Google Play,en,Please help me to use cbe android on this device.,please help use cbe android device,0.6124,positive,positive,neutral,positive
"The password should be stronger, including letters, numbers, and special characters.",1,2024-03-24,CBE,Google Play,en,"The password should be stronger, including letters, numbers, and special characters.",password stronger including letter number special character,0.6486,positive,positive,positive,negative
Best app ever I enjoyed,5,2024-03-23,CBE,Google Play,no,Best app ever I enjoyed,best app ever enjoyed,0.8176,positive,positive,positive,positive
Easy way to use,5,2024-03-23,CBE,Google Play,en,Easy way to use,easy way use,0.4404,positive,positive,positive,positive
"1- Always mixes up sequence of transaction history and also takea very long to update those 2- doesnt generate the reciept page when you transfer to other banks, mostly displays an error image. 3- struggles to work in places with 2G connection. Generally its a good app since the USSD is a nightmare we will be ok with this.",2,2024-03-23,CBE,Google Play,en,"1- Always mixes up sequence of transaction history and also takea very long to update those 2- doesnt generate the reciept page when you transfer to other banks, mostly displays an error image. 3- struggles to work in places with 2G connection. Generally its a good app since the USSD is a nightmare we will be ok with this.",always mix sequence transaction history also takea long update doesnt generate reciept page transfer bank mostly display error image struggle work place 2g connection generally good app since ussd nightmare ok,-0.0258,neutral,neutral,positive,negative
"𝚙𝚎𝚘𝚙𝚕𝚎 𝚌𝚊𝚗 𝚎𝚊𝚜𝚕𝚢 𝚊𝚌𝚝𝚒𝚟𝚊𝚝𝚎 𝚝𝚑𝚎𝚒𝚛 𝚌𝚞𝚛𝚛𝚎𝚗𝚌𝚒𝚎𝚜,𝚊𝚗𝚍 𝚖𝚘𝚜𝚝 𝚘𝚏 𝚝𝚑𝚎 𝚜𝚢𝚜𝚝𝚎𝚖𝚜 𝚜𝚖𝚘𝚘𝚝𝚑𝚕𝚢 𝚒𝚗𝚝𝚎𝚛 𝚊𝚌𝚝 𝚋𝚢 𝚊𝚌𝚌𝚘𝚞𝚗𝚝𝚜 𝚝𝚑𝚊𝚝 𝚏𝚘𝚠𝚗𝚍 𝚒𝚗 𝚝𝚑𝚎 𝚍𝚎𝚟𝚒𝚌𝚎 𝚊𝚜 𝚌𝚞𝚜𝚝𝚘𝚖𝚎𝚛𝚜 𝚗𝚎𝚎𝚍𝚎𝚍.",5,2024-03-22,CBE,Google Play,unknown,"𝚙𝚎𝚘𝚙𝚕𝚎 𝚌𝚊𝚗 𝚎𝚊𝚜𝚕𝚢 𝚊𝚌𝚝𝚒𝚟𝚊𝚝𝚎 𝚝𝚑𝚎𝚒𝚛 𝚌𝚞𝚛𝚛𝚎𝚗𝚌𝚒𝚎𝚜,𝚊𝚗𝚍 𝚖𝚘𝚜𝚝 𝚘𝚏 𝚝𝚑𝚎 𝚜𝚢𝚜𝚝𝚎𝚖𝚜 𝚜𝚖𝚘𝚘𝚝𝚑𝚕𝚢 𝚒𝚗𝚝𝚎𝚛 𝚊𝚌𝚝 𝚋𝚢 𝚊𝚌𝚌𝚘𝚞𝚗𝚝𝚜 𝚝𝚑𝚊𝚝 𝚏𝚘𝚠𝚗𝚍 𝚒𝚗 𝚝𝚑𝚎 𝚍𝚎𝚟𝚒𝚌𝚎 𝚊𝚜 𝚌𝚞𝚜𝚝𝚘𝚖𝚎𝚛𝚜 𝚗𝚎𝚎𝚍𝚎𝚍.",𝚙𝚎𝚘𝚙𝚕𝚎 𝚌𝚊𝚗 𝚎𝚊𝚜𝚕𝚢 𝚊𝚌𝚝𝚒𝚟𝚊𝚝𝚎 𝚝𝚑𝚎𝚒𝚛 𝚌𝚞𝚛𝚛𝚎𝚗𝚌𝚒𝚎𝚜 𝚊𝚗𝚍 𝚖𝚘𝚜𝚝 𝚘𝚏 𝚝𝚑𝚎 𝚜𝚢𝚜𝚝𝚎𝚖𝚜 𝚜𝚖𝚘𝚘𝚝𝚑𝚕𝚢 𝚒𝚗𝚝𝚎𝚛 𝚊𝚌𝚝 𝚋𝚢 𝚊𝚌𝚌𝚘𝚞𝚗𝚝𝚜 𝚝𝚑𝚊𝚝 𝚏𝚘𝚠𝚗𝚍 𝚒𝚗 𝚝𝚑𝚎 𝚍𝚎𝚟𝚒𝚌𝚎 𝚊𝚜 𝚌𝚞𝚜𝚝𝚘𝚖𝚎𝚛𝚜 𝚗𝚎𝚎𝚍𝚎𝚍,0.0,neutral,neutral,neutral,positive
Big apps,5,2024-03-22,CBE,Google Play,sv,Big apps,big apps,0.0,neutral,neutral,neutral,positive
ጓግል,3,2024-03-21,CBE,Google Play,unknown,ጓግል,ጓግል,0.0,neutral,neutral,neutral,neutral
Good to have this app on my phone.,5,2024-03-21,CBE,Google Play,en,Good to have this app on my phone.,good app phone,0.4404,positive,positive,positive,positive
Open mobile banking,5,2024-03-20,CBE,Google Play,no,Open mobile banking,open mobile banking,0.0,neutral,neutral,neutral,positive
Good!,5,2024-03-20,CBE,Google Play,so,Good!,good,0.4926,positive,positive,positive,positive
It stacked and not opened,1,2024-03-20,CBE,Google Play,en,It stacked and not opened,stacked opened,0.0,neutral,neutral,neutral,negative
Betam michu kelal nw,5,2024-03-20,CBE,Google Play,id,Betam michu kelal nw,betam michu kelal nw,0.0,neutral,neutral,neutral,positive
Need better Work on system,5,2024-03-20,CBE,Google Play,da,Need better Work on system,need better work system,0.4404,positive,positive,positive,positive
Nice one,5,2024-03-19,CBE,Google Play,en,Nice one,nice one,0.4215,positive,positive,positive,positive
It's a very interesting app to have a safe money transaction. Appreciate it,4,2024-03-19,CBE,Google Play,en,It's a very interesting app to have a safe money transaction. Appreciate it,interesting app safe money transaction appreciate,0.8221,positive,positive,positive,positive
Ved,5,2024-03-19,CBE,Google Play,de,Ved,ved,0.0,neutral,neutral,neutral,positive
Not good,1,2024-03-19,CBE,Google Play,af,Not good,good,-0.3412,negative,negative,positive,negative
it is so use full!!,5,2024-03-19,CBE,Google Play,en,it is so use full!!,use full,0.0,neutral,neutral,positive,positive
Waa,4,2024-03-18,CBE,Google Play,so,Waa,waa,0.0,neutral,neutral,neutral,positive
This app is verry interesting app ever almost add free and when comparing with other compitant banks app this app more great it work on less data best RTOS👌👌👌,5,2024-03-18,CBE,Google Play,en,This app is verry interesting app ever almost add free and when comparing with other compitant banks app this app more great it work on less data best RTOS👌👌👌,app verry interesting app ever almost add free comparing compitant bank app app great work less data best,0.9329,positive,positive,positive,positive
